frames,vehicle_id,vehicle_bbox,plate_bbox,plate_text,confidence
12,3.0,[345.23826646227474 718.7268025283624 704.9614803643705 1047.0752587084553],[466.68072509765625 938.7652587890625 588.1843872070312 970.2139892578125],NA13MRU,0.26409927420792867
14,3.0,[342.6849802687532 723.5709454623023 703.3357154346777 1053.6134575208905],[454.4241027832031 943.7344970703125 590.09228515625 981.057373046875],HA13MRU,0.3888222860630548
15,3.0,[340.5684395493057 728.4819762476523 702.206749665006 1057.704114953686],[457.9168701171875 949.099365234375 584.5674438476562 980.788330078125],NA13MPU,0.28589530602139235
16,3.0,[338.09305821123144 731.3144409233412 700.555401302182 1060.2098307017113],[445.5760803222656 951.1427001953125 584.499267578125 992.8797607421875],NA13KRU,0.2977812311831973
17,3.0,[336.5076583710704 734.3923971481204 699.2462707679986 1062.7031006779823],[447.1593933105469 956.86962890625 578.68310546875 992.707763671875],NA13MRU,0.2880549579600351
18,3.0,[335.7850896714501 740.7089554314355 696.6915655796906 1067.9161567139506],[454.8856201171875 962.1533203125 577.594482421875 995.9432373046875],NA13HRU,0.386353764172314
19,3.0,[335.55161127570074 745.048930312474 695.956347523776 1070.9386630473489],[452.769287109375 963.6630249023438 577.3924560546875 998.0560913085938],NA13HRU,0.36469096396565853
20,3.0,[333.3323482546417 747.9711603432647 694.1937440246278 1073.0143095584754],[452.8334655761719 967.9810180664062 572.575439453125 1004.1011352539062],NA13HRU,0.5330201152487453
21,3.0,[331.0329156696646 752.3374193487005 692.5735218878874 1075.341843532703],[460.91217041015625 975.1338500976562 556.0081787109375 1004.8438110351562],NA13NRU,0.40443818538464593
22,3.0,[328.9434972403112 754.574983384225 691.2288390173698 1076.2340451306595],[460.35772705078125 978.5850219726562 560.159912109375 1009.6580200195312],XA13HRU,0.6390361979049792
23,3.0,[326.7764611298669 757.0145545329231 690.2928156014314 1075.9442034355898],[445.2567443847656 985.163818359375 566.259033203125 1019.1463623046875],NA13NRU,0.5774057106438888
24,3.0,[325.8068886192719 759.6580532710307 690.2230446894905 1076.1536890273835],[454.0982666015625 989.6574096679688 569.3666381835938 1022.4276123046875],NA13HRU,0.29273318793780606
25,3.0,[325.029848850411 762.3317452581673 689.5276695822328 1076.5278382033382],[455.0629577636719 990.2340087890625 570.530517578125 1027.005859375],NA13HRU,0.36330364216106165
27,3.0,[322.27550554188315 769.946489803667 689.2744891449657 1077.5368954000398],[441.34576416015625 1004.751708984375 564.0885009765625 1039.45947265625],NA13KRU,0.35732776642201686
28,3.0,[321.10877989858693 773.1308109854612 688.6660191112608 1077.6641114444174],[451.85888671875 1008.6112060546875 554.832275390625 1039.385009765625],NA13KRU,0.2509530839428652
29,3.0,[319.0237839396114 777.5168235463279 686.9114267883544 1078.3061891348736],[433.96234130859375 1012.1361083984375 561.0448608398438 1048.381591796875],NA13NRU,0.3342397282792539
30,3.0,[317.56818123806687 780.6324639733874 685.2992085650508 1078.223625858986],[444.7762756347656 1017.8106079101562 556.564208984375 1051.392822265625],NA13NRU,0.29101756741278967
31,3.0,[319.06344773185964 783.6382846142725 685.5642318581781 1078.14181656726],[427.5648193359375 1018.7847290039062 561.3927612304688 1054.2227783203125],NA13NRU,0.4796984865565912
32,3.0,[316.1540869595368 788.195956211785 684.5265738231925 1078.112369839153],[435.9884033203125 1030.197021484375 554.35693359375 1063.03955078125],NA13NRU,0.31717358230629117
33,3.0,[311.4423036759804 792.1358275986852 682.1026316329854 1077.8649216680576],[425.3401794433594 1033.7139892578125 554.162841796875 1068.4532470703125],NA13NRU,0.5592288478828715
35,3.0,[304.01296861654873 799.6044910332407 679.6350923687049 1078.1006514221776],[429.5036315917969 1041.63525390625 556.4129638671875 1076.418212890625],NA13NRU,0.31963322554165735
51,6.0,[554.7639637338589 587.8814978402277 852.9682059751767 826.2943201864277],[660.875732421875 743.4732055664062 742.686767578125 765.6809692382812],CR15OCJ,0.27413410845408137
58,6.0,[544.448937734519 599.7645041574623 854.6761509947564 843.20143042691],[652.4099731445312 752.2890014648438 731.141357421875 785.9694213867188],CY15OGJ,0.24941408483092986
60,6.0,[541.6538003547564 605.2612910448814 854.8852852871767 848.8852544286461],[654.2673950195312 762.6897583007812 744.900634765625 791.455810546875],GI15OGJ,0.09713568023968469
61,6.0,[539.1770682993244 606.9287221014052 852.5254512810225 851.151810439119],[642.7398681640625 766.7476806640625 743.9539794921875 795.4912109375],CX15OCJ,0.4710902794273232
69,6.0,[532.8003089855902 624.9281130042968 845.9216302041968 873.6851894910349],[650.3992919921875 786.9742431640625 725.382080078125 811.284423828125],GX15OGJ,0.5096844277585599
70,6.0,[532.0016291073398 627.5848101379246 845.5971419618575 876.9215200073114],[646.28662109375 791.0780639648438 726.5729370117188 813.0908203125],CX15OGJ,0.4829682949027027
75,6.0,[523.1093853288144 638.3001873822842 839.9535498278237 889.3527648390708],[641.2578735351562 804.1292724609375 728.1324462890625 830.931884765625],GX15OGJ,0.7672195267365496
76,6.0,[521.9623852870591 639.4910116734236 842.0254838467192 892.2786593869453],[635.3255615234375 803.3629150390625 729.3165893554688 833.9053955078125],GX15OGJ,0.7818184406072072
79,6.0,[518.3811976075679 645.6158688874714 842.7328395505958 903.0029458761073],[632.08837890625 816.3447875976562 725.231201171875 843.8713989257812],CX15OGJ,0.1701710323518636
80,6.0,[515.9348097921142 648.7544412602424 842.8042082835274 906.749598348591],[631.8028564453125 818.4962768554688 725.7286376953125 847.4368286132812],CX15OGJ,0.5801758588246738
81,6.0,[512.2347273785999 652.1455972509791 840.418707649709 910.6446056476566],[627.09814453125 822.1890869140625 720.69287109375 851.2176513671875],GX15OGJ,0.30338229596035476
83,6.0,[505.76405692744447 657.5766893829804 837.3631197641027 918.3205011457773],[627.6592407226562 827.4334716796875 718.813232421875 855.752197265625],GX15OGJ,0.34902056326182407
90,6.0,[496.32663305779204 674.4531159803691 841.4263793373017 942.8015107022636],[619.1439208984375 852.301513671875 717.4111938476562 881.017578125],GX15OCJ,0.3331676170538217
91,6.0,[494.833577961527 677.0234270702555 840.8181154562808 946.074455094296],[615.983642578125 852.5863037109375 716.1488037109375 883.6922607421875],GX15OCJ,0.3838481811250607
92,6.0,[492.92731307818656 680.8451634633807 841.3878047410461 950.3935427142276],[617.202880859375 858.7626342773438 710.0318603515625 883.6646118164062],GX15OGJ,0.21204617086693597
95,6.0,[486.3697116679198 686.0160918622603 840.8907265444934 959.8740887016634],[611.8380126953125 867.5590209960938 707.535888671875 899.1399536132812],GX15OCJ,0.502918903355857
